Nombre común|Nombre Ingles|Nombre científico|Clase|Orden|Familia|Golfo de México|Mar Caribe|Pacífico|Fuera del país|Grupo|Nacional/Importado|Objetivo|incidental|Deportiva|Fomento|Cultivada|Cartel|Tríptico|Tallas de captura (cm)|Selectiva_NoSelectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades|Distribución|Cultivada / capturada|Comercio|País de importación|Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California|Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec|Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen|Recomendacion|Peso
Raya látigo redonda|Whiptail Stingray|Dasyatis brevis|Chondrichthyes|Rajiformes|Dasyatidae|0|0|1|0|Chondrichthyes|Nacional|1|0|0|0|0|1|Tríptico|120-190|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive asociado a manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de peces, crustáceos y moluscos.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||DasyatisBrevis.png|0|0
||Dasyatis guttata|Chondrichthyes|Rajiformes|Dasyatidae|1|0|0|0|Chondrichthyes||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Mantarraya|Longtail Stingray|Dasyatis longa|Chondrichthyes|Rajiformes|Dasyatidae|0|0|1|0|Chondrichthyes|Nacional|1|0|0|0|0|2||90-150|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive asociado a manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de peces, crustáceos y moluscos.|Se distribuye desde Baja California Sur hasta las Islas Galápagos.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Dasyatis longa.png|0|0
Raya Látigo de espina|Atlantic Stingray|Dasyatis sabina|Chondrichthyes|Rajiformes|Dasyatidae|1|0|0|0|Chondrichthyes|Nacional|1|0|0|0|0|1|Tríptico|27-60|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina de aguas costeras. Vive en estuarios y lagunas costeras. Se alimenta de pequeños invertebrados.|Se distribuye en el Atlántico occidental, desde Chesapeake Bay, sur de Florida y Golfo de México.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||DasyatisSabina.png|0|0
Raya coluda del Pacífico|Pacific Whiptail Stingray|Himantura pacifica|Chondrichthyes|Rajiformes|Dasyatidae|0|0|1|0|Chondrichthyes|Nacional|1|0|0|0|0|2||90-150|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive asociado a manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de peces, crustáceos y moluscos.|Se distribuye desde Baja California Sur hasta las Islas Galápagos.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||Himantura pacifica.png|0|0
Raya coluda del Atlántico||Himantura schmardae|Chondrichthyes|Rajiformes|Dasyatidae|1|0|0|0|Chondrichthyes||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Sardina japonesa||Etrumeus teres|Actinopterygii|Clupeiformes|Dussumieriidae|0|0|1|0|Otros||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Tiburón espinoso|Prickly Shark|Echinorhinus cookei|Chondrichthyes|Squaliformes|Echinorhinidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2||100-400|Selectiva|Palangre para la pesca de tiburones pelágicos del Pacífico.|Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos oceánicos y costeros. Vive cerca de islas y mar adentro. Se alimenta de pequeños tiburones, peces y calamares.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Echinorhinus cookei.png|0|0
Guabina de río||Eleotris pisonis|Actinopterygii|Perciformes|Eleotridae|1|0|0|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Macabi||Elops affinis|Actinopterygii|Elopiformes|Elopidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Macabi||Elops saurus|Actinopterygii|Elopiformes|Elopidae|1|0|0|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Anchoa legítima||Anchoa hepsetus|Actinopterygii|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Anchoveta||Anchoa ischana|Actinopterygii|Clupeiformes|Engraulidae|0|0|1|0|Anchovetas||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Anchoa ojuda||Anchoa lamprotaenia|Actinopterygii|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Anchoa caleta||Anchoa mitchilli|Actinopterygii|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Anchoa ojuda||Cetengraulis edentulus|Actinopterygii|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Sardina bocona||Cetengraulis mysticetus|Actinopterygii|Clupeiformes|Engraulidae|0|0|1|0|Anchovetas||1|0|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos||||0|0
Anchoveta||Engraulis mordax|Actinopterygii|Clupeiformes|Engraulidae|0|0|1|0|Anchovetas||1|0|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos||||0|0
Zopilote||Chaetodipterus zonatus|Actinopterygii|Perciformes|Ephippidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Trompeta||Fistularia commersonii|Actinopterygii|Syngnathiformes|Fistulariidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Bacalao del Pacífico|Pacific Cod|Gadus macrocephalus|Actinopterygii|Gadiformes|Gadidae|0|0|0|0|Peces importados|Importado|0|0|0|0|0|2||20-100|No selectiva|Redes de arrastre de fondo, redes de arrastre pelágico, redes de enmalle, palangre, redes de cerco.||||||Especie marina de amplia distribución desde la plataforma continental hasta las costas. Se alimenta copépodos y otros crustáceos.|Se distribuye en el Pacífico Norte, Desde California, Estrecho de Bering y Japón.|Capturada|Congelado, ahumado, salado.|España, Estados Unidos.||||||||||||Gadus macrocephalus.png|0|0
Bacalao del Atlántico|Atlantic Cod|Gadus morhua|Actinopterygii|Gadiformes|Gadidae|0|0|0|0|Bacalaos|Importado|0|0|0|0|0|3||100-200|No selectiva|Redes de arrastre de fondo, redes de arrastre pelágicol, redes de enmalle, palangre, redes de cerco.|Vulnerable|||||Especie marina de amplia distribución desde la plataforma continental hasta las costas. Se alimenta copépodos y otros crustáceos.|Se distribuye en el Atlántico Norte.|Capturada|Congelado, ahumado, salado.|España, Estados Unidos.||||||||||||Gadus morhua.png|0|0
Bacalao de Groenlandia|Greenland Cod|Gadus ogac|Actinopterygii|Gadiformes|Gadidae|0|0|0|0|Peces importados|Importado|0|0|0|0|0|2||50-80|No selectiva|Redes de arrastre de fondo, redes de arrastre pelágicol, redes de enmalle, palangre, redes de cerco.||||||Especie marina de amplia distribución desde la plataforma continental hasta las costas. Se alimenta copépodos y otros crustáceos.|Se distribuye en todo el Ártico.|Capturada|Congelado, ahumado, salado.|España, Estados Unidos.||||||||||||Gadus ogac.png|0|0
Mojarra plateada||Diapterus argentus|Actinopterygii|Perciformes|Gerreidae|1|0|0|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Mojarra blanca/Mojarra gaucha|Irish Pompano|Diapterus auratus|Actinopterygii|Perciformes|Gerreidae|1|0|0|0|Mojarras|Nacional|1|0|0|0|0|1|Tríptico|20-34|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa.||||||Especie marina de aguas poco profundas. Vive en las bocas de los ríos y en las lagunas costeras principalmente manglares y praderas de pastos marinos. Se alimenta de pequeños invertebrados bentónicos.|Se distribuye en el Atlántico occidental, desde Carolina del Norte hasta Brasil.|Capturada|Se utiliza la carne.|||||Desconocida|Desconocida|Desconocida||||||DiapterusAuratu.png|0|0
Mojarra palometa|Golden Mojarra|Diapterus aureolus|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras|Nacional|1|0|0|0|0|1|Tríptico|15-40|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros y de bajas profundidades. Vive en fondos arenosos y fangosos. Se alimenta de partículas del sustrato.|Se distribuye en el Pacífico Oriental, desde el Golfo de California a Perú.|Capturada|Se utiliza la carne.|||||Sin datos|Sin datos|Sin datos||||||DiapterusAureolus.png|0|0
Mojarra aletas amarillas|Peruvian Mojarra|Diapterus peruvianus|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras|Nacional|1|0|0|0|0|1|Tríptico|15-30|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros y de bajas profundidades. Vive en manglares y fondos arenosos y fangosos. Se alimenta de partículas del sustrato.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú.|Capturada|Se utiliza la carne.|||||Sin datos|Sin datos|Sin datos|máximo aprovechable|máximo aprovechable|máximo aprovechable|||DiapterusPeruvianus.png|0|0
Mojarra plateada||Eucinostomus argenteus|Actinopterygii|Perciformes|Gerreidae|1|0|0|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||||0|0
Mojarra tricolor||Eucinostomus currani|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||||0|0
Mojarra cantileña||Eucinostomus dowii|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Mojarra charrita||Eucinostomus gracilis|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||||0|0
Mojarra de río||Eucinostomus gula|Actinopterygii|Perciformes|Gerreidae|1|0|0|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Mojarra mancha negra|Darkspot Mojarra|Eucinostomus entomelas|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||||0|0
Mojarra rayada|Striped Mojarra|Eugerres plumieri|Actinopterygii|Perciformes|Gerreidae|1|0|0|0|Mojarras|Nacional|1|0|0|0|0|1|Tríptico|18-40|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa.||||||Especie marina de aguas poco profundas. Vive en fondos fangosos, bocas de los ríos y lagunas costeras que presentan bosques de manglar. Se alimenta de insectos acuáticos, crustáceos, moluscos y detritus.|Se distribuye en el Atlántico occidental, desde Carolina del Sur a Brasil.|Capturada|Se utiliza la carne.|||||Desconocida|Desconocida|Desconocida||||||EugerresPlumieri.png|0|0
Mojarra malacapa|Black Axillary|Eugerres axillaris|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||||0|0
Mojarra aleta corta|Shortfin Mojarra|Eugerres brevimanus|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||||0|0
Mojarra china|Streaked Mojarra|Eugerres lineatus|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||||0|0
Mojarra bandera||Gerres cinereus|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras||0|1|0|0|0|3|||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||||0|0
Mojarrita||Eucinostomus lefroyi|Actinopterygii|Perciformes|Gerreidae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Tiburón gata||Ginglymostoma cirratum|Chondrichthyes|Orectolobiformes|Ginglymostomatidae|1|1|1|0|Tiburones||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Raya de papel|Spiny Butterfly Ray|Gymnura altavela|Chondrichthyes|Rajiformes|Gymnuridae|1|0|0|0|Chondrichthyes|Nacional|0|1|0|0|0|3||50-150|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.|Vulnerable|||||Especie marina de hábitos costeros. Vive en fondos de arena y fango. Se alimenta de pequeños peces, crustáceos, moluscos y plancton.|Se distribuye en el Golfo de México y Mar Caribe.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||0|0
Raya mariposa|Longsnout Butterfly Ray|Gymnura crebripunctata|Chondrichthyes|Rajiformes|Gymnuridae|0|0|1|0|Chondrichthyes|Nacional|1|0|0|0|0|2||20-30|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de aguas costeras. Vive en estuarios y lagunas costeras. Se alimenta de pequeños invertebrados.|Se distribuye en el Pacífico Oriental, desde Baja California a Panamá.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Gymnura crebripunctata.png|0|0
Raya mariposa|California Butterfly Ray|Gymnura marmorata|Chondrichthyes|Rajiformes|Gymnuridae|0|0|1|0|Chondrichthyes|Nacional|1|0|0|0|0|3||30-100|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de aguas costeras. Vive en estuarios y lagunas costeras. Se alimenta de pequeños invertebrados.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Gymnura marmorata.png|0|0
Raya mariposa|Smooth Butterfly Ray|Gymnura micrura|Chondrichthyes|Rajiformes|Gymnuridae|1|0|0|0|Chondrichthyes|Nacional|1|0|0|0|0|1|Tríptico|90-137|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.||||||Especie marina y costera. Vive en fondos lodosos y fangosos y en estuarios. Se alimenta de peces y crustáceos.|Especie de amplia distribución se encuentra en el Atlántico occidental y oriental.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||GymnuraMicrura.png|0|0
Burro bacoco||Anisotremus interruptus|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos||||0|0
Barriquete||Anisotremus surinamensis|Actinopterygii|Perciformes|Haemulidae|1|0|0|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Burro rasposo||Haemulon maculicauda|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos||||0|0
Boquilla||Haemulon plumieri|Actinopterygii|Perciformes|Haemulidae|1|1|0|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Burro almejero||Haemulon sexfasciatum|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos||||0|0
Burrito corcovado||Orthopristis chalceus|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Armado||Orthopristis chrysoptera|Actinopterygii|Perciformes|Haemulidae|1|0|0|0|Otros||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Burro croco||Pomadasys crocro|Actinopterygii|Perciformes|Haemulidae|1|1|0|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Chula||Xenichthys xanti|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Ronco||Conodon nobilis|Actinopterygii|Perciformes|Haemulidae|1|0|0|0|Ronco||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Ronco jeniguaro||Haemulon aurolineatum|Actinopterygii|Perciformes|Haemulidae|1|1|0|0|Ronco||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Ronco prieto||Haemulon bonariense|Actinopterygii|Perciformes|Haemulidae|1|1|0|0|Ronco||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Ronco chano||Haemulon flaviguttatum|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Ronco condenado|French Grunt|Haemulon flavolineatum|Actinopterygii|Perciformes|Haemulidae|1|1|0|0|Ronco|Nacional|1|0|0|0|0|1|Tríptico|17-30|Selectiva|Línea de mano para peces pelágicos y demersales.||||||Especie marina de aguas poco profundas. Vive en zonas arrecifales y los juveniles  en praderas de pastos marinos. Se alimenta de pequeños crustáceos.|Se distribuye en el Atlántico occidental, desde Carolina del Sur a América Central.|Capturada|Se utiliza la carne.|||||Desconocida|Desconocida|Desconocida||||||HaemulonFlavolineatum.png|0|0
Ronco carité||Haemulon sciurus|Actinopterygii|Perciformes|Haemulidae|1|1|0|0|Ronco||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Ronco roncacho||Haemulopsis leuciscus|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Ronco rayado||Microlepidotus brevipinnis|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Ronco rayadito||Microlepidotus inornatus|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Burrito||Orthopristis reddingi|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Roncacho gordo|Longspine grunt|Pomadasys macracanthus|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos||||0|0
Ronco mapache||Pomadasys panamensis|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Ronco boquichica|Smallmouth Grunt|Haemulon chrysargyreum|Actinopterygii|Perciformes|Haemulidae|1|1|0|0|Ronco|Nacional|1|0|0|0|0|1|Tríptico|17-23|Selectiva|Línea de mano para peces pelágicos y demersales.||||||Especie marina de aguas poco profundas. Vive en zonas arrecifales. Los juveniles viven en praderas de pastos marinos. Se alimenta de pequeños invertebrados.|Se distribuye en el Atlántico occidental, desde el sur de Florida hasta Brasil.|Capturada|Se utiliza la carne.|||||Desconocida|Desconocida|Desconocida||||||HaemulonChrysargyreum.png|0|0
Burro||Haemulon macrostomum|Actinopterygii|Perciformes|Haemulidae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Lingcod||Ophiodon elongatus|Actinopterygii|Scorpaeniformes|Hexagrammidae|0|0|1|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Pez vela||Istiophorus albicans|Actinopterygii|Perciformes|Istiophoridae|1|1|0|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Pez vela|Sailfish|Istiophorus platypterus|Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Peces vela|Nacional|0|0|1|0|0|2||170-200|Selectiva|Pesca con caña.||||Permanente  (solo pesca deportiva)|Todo el año|Especie marina de hábitos oceánicos y a veces costeros. Se alimenta de peces, crustáceos y calamares.|Se distribuye todo el Pacífico.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Istiophorus platypterus.png|0|0
Marlín negro|Black Marlin|Makaira indica|Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Marlíns|Nacional|0|0|1|0|0|2||180-210|Selectiva|Pesca con caña.||||Permanente  (solo pesca deportiva)|Todo el año|Especie marina de hábitos oceánicos y a veces costeros. Se alimenta de peces, crustáceos y calamares.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Makaira indica.png|0|0
Marlin azul del Pacífico|Indo-Pacific Blue Marlin|Makaira mazara|Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Marlíns|Nacional|0|0|1|0|0|3||150-450|Selectiva|Pesca con caña.||||Permanente  (solo pesca deportiva)|Todo el año|Especie marina de hábitos oceánicos y a veces costeros. Se alimenta de peces, crustáceos y calamares.|Se distribuye en el Indo Pacífico.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||||0|0
Aguja corta|Shortbill Spearfish|Tetrapturus angustirostris|Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Marlíns|Nacional|0|0|1|0|0|2||150-190|Selectiva|Pesca con caña.||||Permanente  (solo pesca deportiva)|Todo el año|Especie marina de hábitos oceánicos y a veces costeros. Se alimenta de peces, crustáceos y calamares.|Se distribuyeen todo el Pacífico.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Tetrapturus angustirostris.png|0|0
Marlín rayado|Striped Marlin|Tetrapturus audax|Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Marlíns|Nacional|0|0|1|0|0|2||150-290|Selectiva|Pesca con caña.|Casi amenazada|||Permanente  (solo pesca deportiva)|Todo el año|Especie marina de hábitos oceánicos y a veces costeros. Se alimenta de peces, crustáceos y calamares.|Se distribuyeen todo el Pacífico.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Tetrapturus audax.png|0|0
Marlín azul del Atlántico|Blue Marlin|Makaira nigricans|Actinopterygii|Perciformes|Istiophoridae|1|0|0|0|Marlíns|Nacional|0|0|1|0|0|2||150-300|Selectiva|Pesca con caña.|Vulnerable|||Permanente  (solo pesca deportiva)|Todo el año|Especie marina de hábitos oceánicos. Se alimenta de pulpos, calamares y peces.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.|||||Sin datos|Sin datos|Sin datos||||||Makaira nigricans.png|0|0
Marlín blanco|White Marlin|Tetrapturus albidus|Actinopterygii|Perciformes|Istiophoridae|1|0|0|0|Marlíns|Nacional|0|0|1|0|0|2||150-300|Selectiva|Pesca con caña.|Vulnerable|||Permanente  (solo pesca deportiva)|Todo el año|Especie marina de hábitos oceánicos. Se alimenta de pulpos, calamares y peces.|Se distribuye en el Atlántico occidental, desde el sur de Florida hasta Brasil.|Capturada|Se utiliza la carne.|||||Sin datos|Sin datos|Sin datos||||||Tetrapturus albidus.png|0|0
Chopa rayada||Kyphosus analogus|Actinopterygii|Perciformes|Kyphosidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos||||0|0
Chopa de Cortés||Kyphosus elegans|Actinopterygii|Perciformes|Kyphosidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos||||0|0
Chopa amarilla||Kyphosus incisor|Actinopterygii|Perciformes|Kyphosidae|1|1|0|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Chopa negra||Kyphosus sectatrix|Actinopterygii|Perciformes|Kyphosidae|1|1|0|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Chopa salema||Sectator ocyurus|Actinopterygii|Perciformes|Kyphosidae|0|0|1|0|Otros||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Chopa bonita|Zebra Perch Sea Chub|Hermosilla azurea|Actinopterygii|Perciformes|Kyphosidae|0|0|1|0|||0|1|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos||||0|0
Vieja mexicana||Bodianus diplotaenia|Actinopterygii|Perciformes|Labridae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Boquinete|Hogfish|Lachnolaimus maximus|Actinopterygii|Perciformes|Labridae|1|1|0|0|Escama|Nacional|0|1|0|0|0|3||30-90|Selectiva|Palangre, línea de mano.|Vulnerable|||||Especie marina de hábitos costeros. Vive en fondos arrecifales. Se alimenta de moluscos, crustáceos y erizos.|Se distribuye en el Golfo de México y Mar Caribe.|Capturada|Se utiliza la carne.|||||Sin datos|Sin datos|Sin datos|||||||0|0
Vieja californiana|California Sheephead|Semicossyphus pulcher|Actinopterygii|Perciformes|Labridae|0|0|1|0|Escama|Nacional|0|1|0|0|0|3|||||Vulnerable||||||||||||||||||||||0|0
Vieja lomo negro||Bodianus pulchellus|Actinopterygii|Perciformes|Labridae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Vieja española||Bodianus rufus|Actinopterygii|Perciformes|Labridae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Tiburón mako|Shortfin Mako|Isurus oxyrinchus|Chondrichthyes|Lamniformes|Lamnidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|1|Tríptico|275-400|Selectiva|Palangre para la pesca de tiburones pelágicos del Pacífico.|Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos oceánicos y costeros. Vive en mares tropicales y de aguas templado –cálidas. Se alimenta de peces y pequeños tiburones.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||IsurusOxyrinchus.png|0|0
