Nombre común |Nombre inglés |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo|Nacional/Importado|Objetivo |Incidental |Deportiva |Fomento |Cultivada |Cartel|Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación|Pacífico zona 1|Pacífico zona 2|Pacífico zona 3|Golfo Mex y Caribe zona 1|Golfo Mex y Caribe zona 2|Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen|Datos|||firma
Conejo blanco|Smooth Puffer|Lagocephalus laevigatus|Actinopterygii|Tetraodontiformes|Tetraodontidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|60-100|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros y pelágicos. Vive en zonas costeras y cercanas a la costa. Se alimenta de peces y camarones. |Se distribuye en el Atlántico Occidental, desde Nueva Inglaterra, EE.UU. y Bermudas hasta Argentina |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Lagocephalus laevigatus.png|0|||FMM
Xlavita|Pinfish|Lagodon rhomboides|Actinopterygii|Perciformes|Sparidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|18-40|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de  hábitos costeros. Vive en fondos con vegetación y en zonas de manglare. Se alimenta principalmente de pequeños animales, especialmente crustáceos.|Se distribuye en el Atlántico Occidental, desde los Cayos de Florida, EE.UU. hasta Yucatán, México.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Lagodon rhomboides.png|0|||FMM
Boquinete chato|Silver Drum|Larimus argenteus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|0|1|0|0|0|2|20-35|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Habita principalmente en lagunas. Se alimenta generalmente de crustáceos planctónicos. |Se distribuye en el Pacífico Oriental, desde el sur de Baja California, México y el Golfo de California a Perú.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||sobre pesca|sobre pesca|sobre pesca|||Larimus argenteus.png|0|||
Boquinete listado|Banded Drum|Larimus fasciatus|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|16-25|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Habita generalmente sobre fondos de fango y arena a 60 m de profundidad. Se alimenta principalmente de pequeños camarones. |Se distribuye en el Atlántico Occidental, desde Massachusetts a Texas en los EE.UU y el Golfo de México.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Larimus fasciatus.png|0|||C
Croca|Spot Croaker|Leiostomus xanthurus|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|25-36|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Habita generalmente sobre fondos arenosos o fangosos en las aguas costeras. Se alimenta principalmente de gusanos, pequeños crustáceos y detritos orgánicos. |Se distribuye en el Atlántico Occidental, desde Massachusetts a Texas en los EE.UU y el Golfo de México.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Leiostomus xanthurus.png|0|||FMM
Dormilona del Atlántico|Atlantic Tripletail|Lobotes surinamensis|Actinopterygii|Perciformes|Lobotidae |1|1|0|0|Escama|Nacional|0|1|0|0|0|2|80-110|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en las bahías, estuarios  con fondos fangosos. Se alimenta de crustáceos bentónicos y peces pequeños.|Se distribuye en aguas tropicales y subtropicales de todos los océanos.|Capturada|Fresco, congelado y salados.|||||Sin datos.|Sin datos.|Sin datos.||||||Lobotes surinamensis.png|0|||FMM
Conejo amarillo|Tilefish|Lopholatilus chamaeleonticeps|Actinopterygii|Perciformes|Malacanthidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|90-125|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en fondos de arena y fango.  Se alimenta de crustáceos, moluscos y peces. |Se distribuye en el Atlántico Occidental, desde Nueva Escocia, Canadá hasta el sur de Florida, EE.UU. y el Golfo de México.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Lopholatilus chamaeleonticeps.png|0|||FMM
Pargo criollo|Mutton Snapper|Lutjanus analis|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|1|0|0|0|1|52-94|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.|Vulnerable|||||Especie marina de hábitos costeros. Vive en arrecifes rocosos y coralinos. Los juveniles viven en praderas de pastos marinos. Se alimenta de peces, crustáceos y moluscos. |Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil. |Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|En deterioro.|Máximo aprovechamiento permisible.||||||LutjanusAnalis.png|1|||
Pargo canchix|Schoolmaster|Lutjanus apodus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|0|0|0|0|1|26-67|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de aguas poco profundas. Vive en zonas arrecifales y los juveniles en praderas de pastos marinos. Su alimentación consta de crustáceos, moluscos, gusanos y peces.|Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil. |Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|En deterioro.|Máximo aprovechamiento permisible.||||||LutjanusApodus.png|1|||FMM
Pargo raicero|Mullet Snapper|Lutjanus aratus|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|2|35-100|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en los arrecifes que se encuentran sobre fondos duros hasta por lo menos 50 m de profundidad.  Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde  México a Ecuador.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Lutjanus aratus.png|0|||FMM
Pargo amarillo|Yellow Snapper|Lutjanus argentiventris|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|20-70|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Los adultos viven en zonas arrecifales y los juveniles en manglares. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||LutjanusArgentiventris.png|1|||
Pargo sesí|Blackfin Snapper|Lutjanus buccanella|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Huachinangos|Nacional|1|0|0|0|0|2|50-70|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en aguas profundas sobre fondos arenosos o rocosos. Se alimentan de peces.|Se distribuye en el Atlántico Occidental, desde Carolina del Norte, EE.UU. Hasta el norte de Brasil. |Capturada|Se utiliza la carne.|||||Sin datos.|En deterioro.|En deterioro.||||||Lutjanus buccanella.png|1|||
Huachinango del Golfo|Red Snapper|Lutjanus campechanus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Huachinangos|Nacional|1|1|0|0|0|1|25-100|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en fondos rocosos. Los juveniles viven a poca profundidad y en fondos arenosos y fangosos. Se alimenta de crustáceos, moluscos, poliquetos y peces. |Se distribuye en el Atlántico occidental, desde Massachusetts hasta el Golfo de México y Caribe.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|En deterioro.|Máximo aprovechamiento permisible.||||||LutjanusCampechanus.png|1|||
Pargo colorado|Colorado Snapper|Lutjanus colorado|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|35-70|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en zonas arrecifales y rocosas. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Ecuador.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||LutjanusColorado.png|1|||FMM
Pargo cubera|Cubera Snapper|Lutjanus cyanopterus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|0|0|0|0|2|90-160|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.|Vulnerable|||||Especie marina de hábitos costeros.  Vive en fondos y alrededor de los arrecifes. Se alimenta principalmente de peces, camarones y cangrejos.|Se distribuye en el Atlántico Occidental, desde Nueva Escocia hasta el Golfo de México.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Lutjanus cyanopterus.png|0|||FMM
Pargo mulato|Gray Snapper|Lutjanus griseus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|1|0|0|0|1|32-89|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en arrecifes, zonas rocosas, estuarios y manglares. Los juveniles viven en las bocas de los ríos. Se alimenta de pequeños peces, crustáceos y moluscos.|Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil. |Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|En deterioro.|Máximo aprovechamiento permisible.||||||LutjanusGriseus.png|1|||FMM
Pargo lunarejo|Spotted Rose|Lutjanus guttatus|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|35-80|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en zonas arrecifales y rocosas. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||LutjanusGuttatus.png|1|||
Pargo rabirrubia|Golden Snapper|Lutjanus inermis|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Rubia-Villajaibas|Nacional|1|0|0|0|0|2|30-34|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en zonas arrecifales. Se alimentan de invertebrados y peces y también puede ingerir plancton. |Se distribuye en el Pacífico Oriental, de  México a Panamá. |Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Lutjanus inermis.png|0|||
Pargo caballera|Dog Snapper|Lutjanus jocu|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|0|0|0|0|2|60-128|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros.  Vive alrededor de los arrecifes rocosos o coralinos. Los jóvenes se encuentran en los estuarios y en ocasiones entra en los ríos. Se alimentan de peces e invertebrados bentónicos.|Se distribuye en el Atlantico, desde  Massachusetts, EE.UU. a Brasil, incluyendo el Golfo de México y el Mar Caribe.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.||||||Lutjanus jocu.png|1|||FMM
Pargo rojo|Jordan's Snapper|Lutjanus jordani|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|2|30-60|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Habita sobre fondos duros en zonas de arrecifes costeros. Carnívora, se alimentan de invertebrados y peces.|Se distribuye en el Pacífico Oriental, desde el sur de México hasta Perú, incluyendo las islas Galápagos.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||máximo aprovechamiento|sobre pesca|sobre pesca|||Lutjanus jordani.png|1|||FMM
Pargo mulato|Pacific Dog Snapper|Lutjanus novemfasciatus|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|40-170|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive fondos rocosos y arrecifales. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||LutjanusNovemfasciatus.png|1|||FMM
Huachinango del Pacífico|Pacific Red Snapper|Lutjanus peru|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Huachinangos|Nacional|1|0|0|0|0|1|50-95|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en fondos rocosos y arrecifales. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||LutjanusPeru.png|1|||FMM
Pargo rojo|Caribbean Red Snapper|Lutjanus purpureus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|0|0|0|0|2|65-100|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en zonas rocosas. Se alimentan principalmente de peces, camarones, cangrejos y cefalópodos.|Se distribuye en el Atlántico occidental, desde el Mar Caribe hasta el noreste de Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Lutjanus purpureus.png|0|||FMM
Pargo biajaiba|Lane Snapper|Lutjanus synagris|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Rubia-Villajaibas|Nacional|1|0|0|0|0|2|25-60|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en zonas arrecifales. Se alimenta por la noche de pequeños peces, cangrejos, camarones, gusanos, gasterópodos y cefalópodos.|Se distribuye en el Atlántico Occidental, desde Bermudas. EE.UU. hasta el sureste de Brasil, incluyendo el Golfo de México y Mar Caribe.|Capturada|Se utiliza la carne.|||||Sin datos.|En deterioro.|En deterioro.||||||Lutjanus synagris.png|1|||FMM
Pargo azul-dorado|Blue and Gold Snapper|Lutjanus viridis|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|15-30|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive asociada a fondos rocosos y arrecifales. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde Baja California a Ecuador.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||LutjanusViridis.png|1|||FMM
Huachinango ojo amarillo|Silk Snapper|Lutjanus vivanus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Huachinangos|Nacional|1|0|0|0|0|1|50-83|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de aguas profundas. Se alimenta de peces, crustáceos, moluscos y otros invertebrados.|Se distribuye en el Atlántico occidental, desde Carolina del Norte en Estados Unidos hasta Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|En deterioro.|Máximo aprovechamiento permisible.||||||LutjanusVivanus.png|1|||FMM
Marlín negro|Black Marlin|Makaira indica|Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Marlines|Nacional|0|0|1|0|0|2|180-210|Selectiva|Pesca con caña. ||||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos oceánicos y a veces costeros. Se alimenta de peces, crustáceos y calamares.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Makaira indica.png|1|||FMM
Marlín azul del Pacífico|Indo-Pacific Blue Marlin|Makaira mazara|Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Marlines|Nacional|0|0|1|0|0|2|150-450|Selectiva|Pesca con caña. ||||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos oceánicos. Se alimenta de pulpos, calamares y peces.    |Se distribuye en todo el Pacífico. |Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Makaira mazara.png|1|||FMM
Marlín azul del Atlántico|Blue Marlin|Makaira nigricans|Actinopterygii|Perciformes|Istiophoridae|1|0|0|0|Marlines|Nacional|0|0|1|0|0|2|150-300|Selectiva|Pesca con caña.|Vulnerable|||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos oceánicos. Se alimenta de pulpos, calamares y peces.    |Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Makaira nigricans.png|0|||
Manta voladora|Giant Manta|Manta birostris|Chondrichthyes|Rajiformes|Mobulidae|1|1|1|1|Mantarrayas|Nacional|0|0|0|0|0|2|380-460|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.|Vulnerable|Apéndice II||Permanente|Todo el año|Especie marina de aguas poco profundas. Vive cerca de la costa y ligada a arrecifes. Se alimenta de plancton y peces pequeños.|Se distribuye en todos los mares tropicales. |Capturada|Prohibido.||Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.||||||Manta birostris.png|0|||FMM
Sábalo|Tarpon|Megalops atlanticus|Actinopterygii|Elopiformes|Megalopidae|1|1|0|0|Sábalos|Nacional|0|0|1|0|0|2|130-250|Selectiva|Pesca con caña. |Vulnerable|||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos costeros. Vive cerca de estuarios, lagunas costeras, manglares y en las bocas de los ríos. Se alimenta de peces y crustáceos.|Se distribuye en el Golfo de México y Mar Caribe|Capturada|Se utiliza la carne.|||||Con potencial de desarrollo.|Con potencial de desarrollo.|Con potencial de desarrollo.||||||Megalops atlanticus.png|1|||FMM
Berrugato zorro|Southern Kingfish|Menticirrhus americanus|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|30-50|No selectiva|Red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Habita por lo general en fondos de arena dura. Se alimenta de crustáceos y moluscos.|Se distribuye en el Atlántico Occidental, desde Nueva York a Texas, EE.UU. y desde la Bahía de Campeche hasta Buenos Aires, Argentina; Ausente en el sur de la Florida y las Antillas. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Menticirrhus americanus.png|0|||
Berrugato fino|Slender Kingfish|Menticirrhus elongatus |Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Escama|Nacional|0|1|0|1|0|2|35-52|No selectiva|Red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Habita especialmente a lo largo de las costas y lagunas, sobre fondos de arena. Se alimenta de crustáceos y moluscos.|Se distribuye en el Pacífico Oriental, de México a Perú.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Menticirrhus elongatus.png|0|||
Berrugato del golfo|Gulf Kingfish|Menticirrhus littoralis|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|30-48|No selectiva|Red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros.Vive en fondos arenosos y fangosos, a veces entran en los estuarios. Se alimenta principalmente de gusanos y crustáceos. |Se distribuye en el Atlántico Occidental, desde Virginia, EE.UU. y la costa del Golfo de México hasta Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Menticirrhus littoralis.png|0|||FMM
Berrugata real|Highfin King Croaker|Menticirrhus nasus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|25-50|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina. Habita en aguas costeras, bahías y partes bajas de los estuarios. Se alimenta de poliquetos, crustáceos y moluscos. |Se distribuye desde el Sur de Baja California y Golfo de California hasta Peru.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||máximo aprovechamiento|máximo aprovechamiento|máximo aprovechamiento|||Menticirrhus nasus.png|0|||FMM
Berrugata panameño|Panama Kingcroaker|Menticirrhus panamensis|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Berrugatas|Nacional|1|0|0|0|0|1|30-75|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina. Vive en la zona costera cerca de manglares y estuarios. Se alimenta de pequeños crustáceos, gusanos poliquetos y moluscos.|Se distribuye en el Pacífico Oriental, desde Baja California hasta Chile. |Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||máximo aprovechamiento|máximo aprovechamiento|máximo aprovechamiento|||MenticirrhusPanamensis.png|1|||FMM
Berrugato raton|Northern Kingfish|Menticirrhus saxatilis|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|30-46|No selectiva|Red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en aguas poco profundas sobre fondos de arena y fango. Común en la zona de rompientes y en los estuarios. Se alimenta principalmente de gusanos y crustáceos.|Se distribuye en el Atlántico Occidental, desde Massachusetts hasta el  sur del Golfo de México y Mar Caribe.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Menticirrhus saxatilis.png|0|||FMM
Berrugata californiana|California Corbina|Menticirrhus undulatus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Berrugatas|Nacional|1|0|0|0|0|1|30-70|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina. Vive en la zona costera preferentemente con fondos arenosos. Se alimenta de cangrejos, otros pequeños crustáceos y gusanos poliquetos.|Se distribuye en el Pacífico Oriental, desde California hasta Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||máximo aprovechamiento|máximo aprovechamiento|máximo aprovechamiento|||MenticirrhusUndulatus.png|1|||
Merluza norteña|Pacific Hake|Merluccius productus|Actinopterygii|Gadiformes|Merlucciidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|60-91|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive ceca de la costa. Se alimenta de peces e invertebrados.  |Se distribuye en el Pacífico Oriental, desde  Vancouver, Canadá, hasta el Golfo de California. |Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Merluccius productus.png|0|||FMM
Merluza|European Hake|Merluccius spp.|Actinopterygii|Gadiformes|Merlucciidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2|30-60|No selectiva|Redes de arrastre, redes de cerco danesas y palangres.||||||Especie marina. Vive cerca de los fondos a profundidades que van de los 70 a 1000 metros. Se alimenta principalmente de peces pequeños y calamares.|Se distribuye en la costa atlántica de Europa y al oeste de África del Norte, Mar Mediterráneo y en la costa sur del Mar Negro.|Capturada|Congelado.|España.||||||||||||Merluccius spp.|0|||
Ronco bronceado|Brassy Grunt|Microlepidotus brevipinnis|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|30-40|No selectiva|Chinchorro playero, curricán, línea de mano y palangre.||||||Especie marina de aguas poco profundas. Vive en zonas arrécifales y los juveniles en praderas de pastos marinos. Se alimenta de pequeños crustáceos. |Se distribuye en el Pacífico Centro-oriental, desde el  Golfo de California hasta Panamá.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Microlepidotus brevipinnis.png|0|||FMM
Ronco rayadito|Wavyline Grunt|Microlepidotus inornatus|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|30-45|No selectiva|Chinchorro playero, curricán, línea de mano y palangre.||||||Especie marina de hábitos costeros. Vive en zonas arrecifales. Se alimenta de moluscos y crustáceos.|Se distribuye en el Pacífico Centro-Oriental, desde Baja California a Mazatlán en México.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Microlepidotus inornatus.png|0|||FMM
Chano sureño|Golden Croaker|Micropogonias altipinnis|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Escama|Nacional|1|0|0|0|0|2|40-90|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Habita a lo largo de las costas arenosas y bahías, también en estuarios y lagunas. Se alimenta de peces, moluscos y crustáceos. |Se distribuye en el Pacífico Oriental, desde el Golfo de California hasta Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Micropogonias altipinnis.png|1|||FMM
Chano norteño|Gulf Croaker |Micropogonias megalops|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Escama|Nacional|1|0|0|0|0|2|30-40|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en lagunas costeras, estuarios y desembocaduras de los ríos, también en aguas profundas lejos de la costa. Se alimenta principalmente de crustáceos y peces. |Se distribuye en el Este y Centro del Pacífico Méxicano.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Micropogonias megalops.png|1|||FMM
